"CUS_000001","Kanika Tyagi","kanika@gmail.com","1234567889","300.000"
"CUS_000002","Ronak Tyagi","ronak@gmail.com","2045166723","500.000"
"CUS_000003","Jainit Tyagi","jainit@gmail.com","1436732189","650.000"
"CUS_000004","Ria Tyagi","ria@gmail.com","1045166723","750.000"
"CUS_000005","Srishti Dabral","srishti@gmail.com","1486732189","450.000"
"CUS_000006","Nikita Shokeen","nikita@gmail.com","1674839324","300.000"
"CUS_000007","Nitya Saini","nitya@gmail.com","1946352634","500.000"
"CUS_000008","Riya Khushwha","riya@gmail.com","1234839324","200.000"
"CUS_000009","Kamya","kamya@gmail.com","1944552634","650.000"
"CUS_000010","Chirag Tyagi","chirag@gmail.com","1543777245","350.000"
"Ronak Tyagi","Kanika Tyagi","50.000","2020-12-11","21:53:54"
"Kamya","Riya Khushwha","100.000","2020-12-11","22:46:46"
"Srishti Dabral","Ria Tyagi","150.000","2020-12-11","22:47:51"
"Nikita Shokeen","Nitya Saini","200.000","2020-12-11","22:49:34"
"Chirag Tyagi","Kanika Tyagi","250.000","2020-12-11","22:50:23"
"Ronak Tyagi","Srishti Dabral","50.000","2020-12-11","23:23:54"
"Ronak Tyagi","Srishti Dabral","50.000","2020-12-11","23:24:23"
"Ronak Tyagi","Srishti Dabral","50.000","2020-12-11","23:26:42"
"Ronak Tyagi","Srishti Dabral","50.000","2020-12-11","23:28:10"
"Kanika Tyagi","Jainit Tyagi","50.000","2020-12-15","00:15:52"
"Kanika Tyagi","Riya Khushwha","100.000","2020-12-15","00:17:43"
"Riya Khushwha","Chirag Tyagi","200.000","2020-12-15","00:18:56"
"RONAK Tyagi","Kamya","50.000","2020-12-15","20:39:03"
"RONAK Tyagi","Kamya","50.000","2020-12-15","20:39:03"
